race_id,date,venue,race_no,race_name,surface,distance,turn,weather,going,race_class,field_size,prize1,chaku,waku,umaban,horse,sex,age,kinryo,jockey,time_sec,margin,ninki,odds,agari,passage,trainer,weight,weight_diff,status
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,1,1,1,ラパンチュール,牝,2,55.0,武豊,71.2,,1,2.4,34.1,6-4,美浦 蛯名正,458,4,
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,2,3,3,オンザブルースカイ,牡,2,52.0,▲小林勝,71.2,アタマ,3,3.8,34.5,2-2,栗東 谷,454,-2,
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,3,6,6,ティピティーナ,牝,2,55.0,丹内,71.4,1.1/2,2,3.1,34.8,1-1,美浦 林,408,4,
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,4,4,4,ブリッツアロング,牡,2,55.0,大野,71.6,1,6,25.9,34.8,3-4,美浦 上原博,472,-2,
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,5,2,2,カルミネイション,牝,2,55.0,菱田,71.6,ハナ,4,5.9,34.7,3-4,栗東 緒方,436,10,
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,6,5,5,ディラードテソーロ,牡,2,52.0,▲高杉,71.6,クビ,5,20.9,34.8,3-3,美浦 畠山,432,6,
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,7,7,7,サノノスウィフト,牝,2,52.0,▲長浜,73.0,8,7,87.6,35.7,7-7,美浦 蛯名利,400,0,
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,,1,1,ラパンチュール,,,70.0,58,,13.4,5,11.5,5.0,12.1,3,,,
202402010901,2024-07-06,函館,1,2歳未勝利,芝,1200,右,曇,良,"1回 函館 9日目 サラ系２歳 未勝利       [指] 馬齢 7頭 本賞金:550,220,140,83,55万円",7,550.0,,1,1,ラパンチュール,,,,-,,-,,,,-,-,,,
202402010902,2024-07-06,函館,2,3歳未勝利,ダ,1000,右,曇,稍,"1回 函館 9日目 サラ系３歳 未勝利       (混)[指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,1,7,10,ニホンピロトッティ,牝,3,55.0,菱田,58.9,,6,15.9,35.6,2-2,栗東 緒方,400,4,
202402010902,2024-07-06,函館,2,3歳未勝利,ダ,1000,右,曇,稍,"1回 函館 9日目 サラ系３歳 未勝利       (混)[指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,2,1,1,タカラバディウス,牝,3,52.0,▲小林勝,59.2,2,10,111.6,35.9,2-3,美浦 堀内,420,-4,
202402010902,2024-07-06,函館,2,3歳未勝利,ダ,1000,右,曇,稍,"1回 函館 9日目 サラ系３歳 未勝利       (混)[指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,3,8,12,タイセイフォルテ,牡,3,54.0,▲高杉,59.4,1.1/4,2,4.0,35.8,4-3,栗東 西村,486,0,
202402010902,2024-07-06,函館,2,3歳未勝利,ダ,1000,右,曇,稍,"1回 函館 9日目 サラ系３歳 未勝利       (混)[指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,4,6,7,ラントゥリーダンス,牝,3,55.0,小林凌,59.4,アタマ,4,8.3,35.8,4-3,美浦 石栗,460,4,
202402010902,2024-07-06,函館,2,3歳未勝利,ダ,1000,右,曇,稍,"1回 函館 9日目 サラ系３歳 未勝利       (混)[指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,5,3,3,マーシャルテイル,牡,3,57.0,鮫島駿,60.1,4,7,21.8,36.6,4-6,栗東 池添,458,-8,
202402010902,2024-07-06,函館,2,3歳未勝利,ダ,1000,右,曇,稍,"1回 函館 9日目 サラ系３歳 未勝利       (混)[指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,6,6,8,モズマサニャン,牡,3,57.0,岩田康,60.1,ハナ,3,5.5,36.2,7-8,美浦 加藤征,450,-2,
202402010902,2024-07-06,函館,2,3歳未勝利,ダ,1000,右,曇,稍,"1回 函館 9日目 サラ系３歳 未勝利       (混)[指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,7,8,11,オーヴァーザトップ,牡,3,57.0,黛,60.5,2.1/2,9,94.1,36.0,11-10,美浦 伊藤伸,478,0,
