race_id,date,venue,race_no,race_name,surface,distance,turn,weather,going,race_class,field_size,prize1,chaku,waku,umaban,horse,sex,age,kinryo,jockey,time_sec,margin,ninki,odds,agari,passage,trainer,weight,weight_diff,status
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,1,7,14,ペイシャニット,牝,3,55.0,横山武,72.4,,1,1.2,38.2,3-3,美浦 高橋裕,468,0,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,2,2,3,オオゾラヒバリ,牝,3,52.0,▲長浜,72.6,1.1/4,8,51.1,38.3,4-4,美浦 根本,442,-2,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,3,1,1,エリカポラリス,牝,3,52.0,▲小林勝,73.5,5,6,32.5,39.5,1-1,美浦 伊藤圭,436,-6,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,4,8,16,サンマルブーケ,牝,3,55.0,武藤,73.5,ハナ,5,25.2,39.4,2-2,美浦 中川,482,-2,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,5,5,10,チェルシー,牝,3,55.0,吉田豊,73.6,クビ,4,14.4,38.3,11-10,美浦 中舘,430,0,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,6,1,2,ゴールデンスイープ,牝,3,54.0,☆永野,73.7,1/2,7,32.5,39.4,4-5,美浦 黒岩,422,2,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,7,3,6,チャルドーニ,牝,3,55.0,津村,73.9,1.1/4,2,8.0,39.2,6-5,美浦 林,460,-20,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,8,3,5,ミトロージア,牝,3,54.0,☆原,74.3,2.1/2,11,284.6,39.3,10-7,美浦 勢司,434,-2,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,9,7,13,サノノリッチ,牝,3,55.0,キング,74.3,ハナ,3,13.6,39.4,8-7,美浦 中野,408,-6,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,10,4,7,ペレストリーナ,牝,3,55.0,三浦,74.4,クビ,9,62.5,39.6,6-7,美浦 新開,498,2,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,11,8,15,クーペリー,牝,3,54.0,☆横山琉,74.4,ハナ,14,323.6,38.0,15-15,美浦 高橋裕,446,-4,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,12,2,4,ペイシプリンプリン,牝,3,55.0,嶋田,74.6,1.1/2,13,287.9,37.6,16-16,美浦 伊藤伸,456,0,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,13,6,11,チャコールアニー,牝,3,53.0,◇藤田菜,74.7,クビ,12,287.1,39.2,12-12,美浦 高橋文,440,0,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,14,5,9,プリンセスココア,牝,3,55.0,菅原隆,74.9,1,16,474.0,39.2,13-13,美浦 小手川,468,-16,
202406020301,2024-03-02,中山,1,3歳未勝利,ダ,1200,右,晴,重,"2回 中山 3日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:550,220,140,83,55万円",16,550.0,15,4,8,シアワセノランプ,牝,3,51.0,★大江比,75.0,1/2,10,219.8,40.1,8-10,美浦 武市,400,2,
