race_id,date,venue,race_no,race_name,surface,distance,turn,weather,going,race_class,field_size,prize1,chaku,waku,umaban,horse,sex,age,kinryo,jockey,time_sec,margin,ninki,odds,agari,passage,trainer,weight,weight_diff,status
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,1,7,14,フュルスティン,牝,3,55.0,横山武,72.7,,1,1.4,38.9,2-1,美浦 加藤士,470,4,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,2,8,15,プラチナムディスク,牝,3,53.0,△長浜,73.0,2,7,25.9,38.4,7-5,美浦 小笠,448,2,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,3,8,16,アクロスメモリア,牝,3,55.0,戸崎圭,73.5,3,4,14.3,39.2,5-3,美浦 田島,476,0,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,4,6,12,レースクイーン,牝,3,55.0,江田照,73.8,2,14,161.0,39.4,5-7,美浦 蛯名利,410,-18,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,5,4,7,ラストシャイニー,牝,3,55.0,矢野貴,74.0,1,6,22.4,39.2,8-8,美浦 千葉,428,-2,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,6,3,6,バーヴァンシー,牝,3,52.0,▲舟山,74.0,ハナ,11,54.4,38.5,15-15,美浦 村田,486,2,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,7,2,4,マメーアップル,牝,3,55.0,荻野極,74.1,3/4,3,7.9,40.1,3-3,美浦 岩戸,438,10,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,8,6,11,マリノレーヴェ,牝,3,55.0,横山琉,74.3,1.1/2,2,7.1,39.3,10-9,美浦 鈴木慎,480,6,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,9,3,5,メインテーマ,牝,3,55.0,内田博,74.4,クビ,8,43.3,40.6,1-2,美浦 小手川,488,6,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,10,7,13,ミルトメロディー,牝,3,55.0,原,74.8,2.1/2,10,49.6,40.6,4-5,美浦 青木,426,-2,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,11,2,3,ファストワーカー,牝,3,55.0,菊沢,75.2,2.1/2,12,78.0,40.1,10-13,美浦 伊藤大,496,-2,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,12,5,9,タマモシルエット,牝,3,55.0,丹内,75.3,クビ,5,22.4,40.2,10-10,美浦 伊藤圭,468,0,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,13,5,10,ウィザードオブマリ,牝,3,52.0,▲石田,75.4,3/4,15,266.3,40.4,10-10,美浦 蛯名利,452,-4,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,14,1,1,ジーナグレイス,牝,3,55.0,丸山,75.8,2,13,118.8,40.6,14-13,美浦 田中勝,422,-10,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,15,4,8,トウシンラヴ,牝,3,55.0,菅原明,76.4,3.1/2,9,46.6,41.5,8-10,美浦 高柳瑞,446,-2,
202606010101,2026-01-04,中山,1,3歳未勝利,ダ,1200,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       牝[指] 馬齢 16頭 本賞金:590,240,150,89,59万円",16,590.0,16,1,2,フロリスタン,牝,3,55.0,原田和,77.0,3.1/2,16,362.7,41.6,15-15,美浦 松山,474,-6,
202606010102,2026-01-04,中山,2,3歳未勝利,ダ,1800,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       [指] 馬齢 13頭 本賞金:590,240,150,89,59万円",13,590.0,1,4,4,フィンガー,牡,3,57.0,戸崎圭,114.5,,1,1.3,37.9,1-1-1-1,美浦 田中博,548,6,
202606010102,2026-01-04,中山,2,3歳未勝利,ダ,1800,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       [指] 馬齢 13頭 本賞金:590,240,150,89,59万円",13,590.0,2,6,8,ニシノモリミチ,牡,3,57.0,菅原明,116.4,大,3,6.9,39.6,2-2-2-2,美浦 高木,492,4,
202606010102,2026-01-04,中山,2,3歳未勝利,ダ,1800,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       [指] 馬齢 13頭 本賞金:590,240,150,89,59万円",13,590.0,3,5,7,ゴーフォアブローク,牡,3,55.0,△長浜,116.9,2.1/2,2,6.1,39.5,7-7-7-7,美浦 手塚久,528,-2,
202606010102,2026-01-04,中山,2,3歳未勝利,ダ,1800,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       [指] 馬齢 13頭 本賞金:590,240,150,89,59万円",13,590.0,4,2,2,オルブライト,牡,3,57.0,大野,117.1,1.1/4,4,13.0,39.3,10-10-10-5,美浦 杉浦,470,-2,
202606010102,2026-01-04,中山,2,3歳未勝利,ダ,1800,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       [指] 馬齢 13頭 本賞金:590,240,150,89,59万円",13,590.0,5,8,13,シンエンドーツダ,牡,3,57.0,菊沢,117.5,2.1/2,6,39.1,39.9,8-9-9-9,美浦 萱野,472,4,
202606010102,2026-01-04,中山,2,3歳未勝利,ダ,1800,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       [指] 馬齢 13頭 本賞金:590,240,150,89,59万円",13,590.0,6,5,6,タイガーゲイト,牡,3,57.0,丹内,118.1,3.1/2,12,206.5,40.9,3-3-4-5,美浦 大和田,476,0,
202606010102,2026-01-04,中山,2,3歳未勝利,ダ,1800,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       [指] 馬齢 13頭 本賞金:590,240,150,89,59万円",13,590.0,7,1,1,クリュメノス,牡,3,54.0,▲石田,118.3,1.1/2,8,117.6,40.0,13-13-12-12,美浦 小西,478,6,
202606010102,2026-01-04,中山,2,3歳未勝利,ダ,1800,右,晴,稍,"1回 中山 1日目 サラ系３歳 未勝利       [指] 馬齢 13頭 本賞金:590,240,150,89,59万円",13,590.0,8,3,3,インスウィング,セ,3,57.0,原,118.4,クビ,11,195.2,41.3,3-3-3-3,美浦 青木,508,4,
