race_id,date,venue,race_no,race_name,surface,distance,turn,weather,going,race_class,field_size,prize1,chaku,waku,umaban,horse,sex,age,kinryo,jockey,time_sec,margin,ninki,odds,agari,passage,trainer,weight,weight_diff,status
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,1,6,8,ヒシアマン,牡,2,55.0,藤岡佑,90.8,,1,1.4,35.4,4-7-3,美浦 堀,458,10,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,2,4,4,ワールドキッス,牡,2,55.0,浜中,91.8,6,3,9.6,36.0,11-11-9,栗東 河嶋,446,-4,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,3,8,11,ホウオウライダイ,牡,2,55.0,古川吉,92.0,1.1/2,5,13.9,36.3,8-10-6,栗東 宮,474,-4,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,4,3,3,ナンヨーエンペラー,牡,2,55.0,武豊,92.1,1/2,4,9.7,36.7,10-7-3,栗東 松永幹,470,-6,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,5,2,2,グランカメリア,牡,2,55.0,鮫島駿,92.3,1,2,6.1,37.1,4-5-3,栗東 吉田,484,12,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,6,8,12,リンゲルブルーメ,牝,2,55.0,北村友,92.5,1,7,32.1,37.3,4-5-6,栗東 池添,468,-2,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,7,1,1,コパノマロン,牝,2,52.0,▲長浜,92.5,クビ,8,93.6,37.5,4-2-6,栗東 村山,436,-2,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,8,5,5,ゴーゴーゴウト,牡,2,53.0,△小林勝,92.6,1/2,10,164.7,37.8,1-1-1,美浦 加藤士,478,2,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,9,5,6,ハプスブルグ,牝,2,55.0,丹内,92.7,1/2,9,130.2,37.3,8-7-9,栗東 河嶋,468,-12,
202401020801,2024-09-01,札幌,1,2歳未勝利,芝,1500,右,晴,稍,"2回 札幌 8日目 サラ系２歳 未勝利       [指] 馬齢 12頭 本賞金:550,220,140,83,55万円",12,550.0,10,7,10,ベルリネッタ,牡,2,55.0,横山武,92.7,クビ,6,15.4,37.8,3-2-2,美浦 矢野,494,-2,
