race_id,date,venue,race_no,race_name,surface,distance,turn,weather,going,race_class,field_size,prize1,chaku,waku,umaban,horse,sex,age,kinryo,jockey,time_sec,margin,ninki,odds,agari,passage,trainer,weight,weight_diff,status
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,1,8,9,スマートブライド,牝,2,55.0,ルメー,71.8,,1,1.1,37.8,,美浦 加藤征,454,-2,
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,2,5,5,ルスデルカミーノ,牡,2,55.0,大野,72.9,7,3,10.1,38.6,,美浦 杉浦,470,-2,
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,3,1,1,サリードゥ,牝,2,55.0,津村,73.2,1.3/4,2,5.9,39.3,,美浦 鈴木伸,442,0,
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,4,3,3,ポッドエステラ,牡,2,55.0,佐々木,73.3,1,6,86.9,39.3,,美浦 伊藤圭,444,-2,
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,5,4,4,ソナタテソーロ,牝,2,55.0,木幡巧,74.7,8,5,43.6,39.7,,美浦 牧,456,0,
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,6,2,2,ジンクピリチオン,牡,2,55.0,原,74.7,クビ,4,15.3,40.5,,美浦 奥平,498,18,
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,7,7,7,カンタベリートップ,牝,2,55.0,木幡初,74.8,クビ,7,122.7,39.2,,美浦 石栗,426,8,
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,8,6,6,カシノカゲマル,セ,2,55.0,原田和,76.0,7,9,272.6,41.0,,美浦 蛯名利,456,8,
202606040501,2026-09-19,中山,1,2歳未勝利,ダ,1200,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       [指] 馬齢 9頭 本賞金:590,240,150,89,59万円",9,590.0,9,8,8,マリノフスキー,牡,2,55.0,丸田,76.0,アタマ,8,193.3,40.4,,美浦 畠山,464,6,
202606040502,2026-09-19,中山,2,2歳未勝利,ダ,1800,右,曇,良,"4回 中山 5日目 サラ系２歳 未勝利       牝[指] 馬齢 8頭 本賞金:590,240,150,89,59万円",8,590.0,1,3,3,ハイビスカス,牝,2,55.0,大野,115.3,,3,5.2,38.5,,美浦 杉浦,474,-4,
