date,race_id,jyo_code,venue,race_no,post_time,bet_type,bet_type_code,combo,amount,group_id,group_method,group_points,odds,ninki,ev,ev_low,judge,source,odds_time,finished,refunded,hit,payout_yen,payout_ninki,return,profit
20260913,202609040407,09,阪神,7,13:10,馬連,4,07-13,100,G001,nagashi,2,45.8,18,0.810,0.717,pass,ref,2026-09-13 10:06:00,1,,,,,0,-100
20260913,202609040407,09,阪神,7,13:10,馬連,4,06-07,100,G001,nagashi,2,37.8,16,0.612,0.553,pass,ref,2026-09-13 10:06:00,1,,,,,0,-100
20260913,202609040407,09,阪神,7,13:10,馬単,6,07>13,100,G002,nagashi_1st,2,115.7,41,0.917,0.768,pass,ref,2026-09-13 10:06:00,1,,,,,0,-100
20260913,202609040407,09,阪神,7,13:10,馬単,6,07>06,100,G002,nagashi_1st,2,108.7,38,0.800,0.685,pass,ref,2026-09-13 10:06:00,1,,,,,0,-100
20260913,202609040407,09,阪神,7,13:10,3連複,7,06-07-13,100,G003,nagashi,1,63.2,19,0.457,0.374,pass,ref,2026-09-13 10:06:00,1,,,,,0,-100
20260913,202606040407,06,中山,7,13:25,馬連,4,15-16,100,G004,nagashi,2,28.6,8,0.509,0.451,pass,ref,2026-09-13 10:22:20,1,,,,,0,-100
20260913,202606040407,06,中山,7,13:25,馬連,4,07-16,100,G004,nagashi,2,118.1,42,1.274,1.148,buy,ref,2026-09-13 10:22:20,1,,,,,0,-100
20260913,202606040407,06,中山,7,13:25,馬単,6,16>15,100,G005,nagashi_1st,2,54.0,19,0.446,0.380,pass,ref,2026-09-13 10:22:20,1,,,,,0,-100
20260913,202606040407,06,中山,7,13:25,馬単,6,16>07,100,G005,nagashi_1st,2,278.9,99,1.503,1.352,buy,ref,2026-09-13 10:22:20,1,,,,,0,-100
20260913,202606040407,06,中山,7,13:25,3連複,7,07-15-16,100,G006,nagashi,1,173.6,51,0.740,0.627,pass,ref,2026-09-13 10:22:20,1,,,,,0,-100
20260913,202609040408,09,阪神,8,13:40,馬連,4,02-11,100,G007,nagashi,2,8.1,1,0.636,0.571,pass,ref,2026-09-13 10:37:05,1,,1,350,1,350,250
20260913,202609040408,09,阪神,8,13:40,馬連,4,08-11,100,G007,nagashi,2,23.2,11,1.173,1.085,buy,ref,2026-09-13 10:37:05,1,,,,,0,-100
20260913,202609040408,09,阪神,8,13:40,馬単,6,11>02,100,G008,nagashi_1st,2,12.7,1,0.533,0.485,pass,ref,2026-09-13 10:37:05,1,,1,550,1,550,450
20260913,202609040408,09,阪神,8,13:40,馬単,6,11>08,100,G008,nagashi_1st,2,30.4,7,0.875,0.834,pass,ref,2026-09-13 10:37:05,1,,,,,0,-100
20260913,202609040408,09,阪神,8,13:40,3連複,7,02-08-11,100,G009,nagashi,1,26.5,7,0.748,0.615,pass,ref,2026-09-13 10:37:05,1,,,,,0,-100
20260913,202606040408,06,中山,8,13:55,馬連,4,03-13,100,G010,nagashi,2,23.9,9,0.423,0.375,pass,ref,2026-09-13 09:51:35,1,,1,2140,8,2140,2040
20260913,202606040408,06,中山,8,13:55,馬連,4,05-13,100,G010,nagashi,2,58.4,23,1.012,0.917,apparent,ref,2026-09-13 09:51:35,1,,,,,0,-100
20260913,202606040408,06,中山,8,13:55,馬単,6,13>03,100,G011,nagashi_1st,2,26.1,2,0.263,0.217,pass,ref,2026-09-13 09:51:35,1,,,,,0,-100
20260913,202606040408,06,中山,8,13:55,馬単,6,13>05,100,G011,nagashi_1st,2,98.1,43,0.970,0.818,pass,ref,2026-09-13 09:51:35,1,,,,,0,-100
20260913,202606040408,06,中山,8,13:55,3連複,7,03-05-13,100,G012,nagashi,1,224.6,77,0.782,0.633,pass,ref,2026-09-13 09:51:35,1,,,,,0,-100
20260913,202609040409,09,阪神,9,14:10,馬連,4,10-11,100,G013,nagashi,2,27.3,11,0.847,0.742,pass,ref,2026-09-13 10:06:30,1,,,,,0,-100
20260913,202609040409,09,阪神,9,14:10,馬連,4,03-10,100,G013,nagashi,2,20.2,8,0.944,0.872,pass,ref,2026-09-13 10:06:30,1,,,,,0,-100
20260913,202609040409,09,阪神,9,14:10,馬単,6,10>11,100,G014,nagashi_1st,3,44.8,19,0.850,0.673,pass,ref,2026-09-13 10:06:30,1,,,,,0,-100
20260913,202609040409,09,阪神,9,14:10,馬単,6,10>03,100,G014,nagashi_1st,3,33.5,15,0.915,0.825,pass,ref,2026-09-13 10:06:30,1,,,,,0,-100
20260913,202609040409,09,阪神,9,14:10,馬単,6,10>05,100,G014,nagashi_1st,3,9.2,2,0.551,0.494,pass,ref,2026-09-13 10:06:30,1,,,,,0,-100
20260913,202609040409,09,阪神,9,14:10,3連複,7,03-10-11,100,G015,nagashi,3,67.1,23,0.732,0.583,pass,ref,2026-09-13 10:06:30,1,,,,,0,-100
20260913,202609040409,09,阪神,9,14:10,3連複,7,05-10-11,100,G015,nagashi,3,25.1,8,0.688,0.592,pass,ref,2026-09-13 10:06:30,1,,,,,0,-100
20260913,202609040409,09,阪神,9,14:10,3連複,7,03-05-10,100,G015,nagashi,3,15.6,5,0.622,0.521,pass,ref,2026-09-13 10:06:30,1,,,,,0,-100
20260913,202606040409,06,中山,9,14:25,馬連,4,01-02,100,G016,nagashi,1,3.5,1,0.475,0.418,pass,ref,2026-09-13 10:20:20,1,,,,,0,-100
20260913,202606040409,06,中山,9,14:25,馬単,6,02>01,100,G017,nagashi_1st,1,8.8,2,0.561,0.482,pass,ref,2026-09-13 10:20:20,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,馬連,4,01-08,100,G018,nagashi,2,25.7,10,0.613,0.544,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,馬連,4,06-08,100,G018,nagashi,2,25.1,9,0.690,0.622,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,馬単,6,08>01,100,G019,nagashi_1st,4,60.6,23,0.821,0.726,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,馬単,6,08>06,100,G019,nagashi_1st,4,52.6,19,0.808,0.750,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,馬単,6,08>09,100,G019,nagashi_1st,4,61.8,24,0.692,0.604,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,馬単,6,08>11,100,G019,nagashi_1st,4,51.5,17,0.591,0.519,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,3連複,7,01-06-08,100,G020,nagashi,6,105.5,34,0.669,0.566,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,3連複,7,01-08-09,100,G020,nagashi,6,187.5,66,0.853,0.751,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,3連複,7,01-08-11,100,G020,nagashi,6,127.5,47,0.595,0.523,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,3連複,7,06-08-09,100,G020,nagashi,6,153.9,58,0.800,0.710,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,3連複,7,06-08-11,100,G020,nagashi,6,120.0,46,0.640,0.566,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202609040410,09,阪神,10,14:50,3連複,7,08-09-11,100,G020,nagashi,6,186.1,65,0.710,0.633,pass,ref,2026-09-13 10:46:35,1,,,,,0,-100
20260913,202606040410,06,中山,10,15:05,馬連,4,05-08,100,G021,nagashi,1,17.8,10,0.887,0.810,pass,ref,2026-09-13 10:00:40,1,,,,,0,-100
20260913,202606040410,06,中山,10,15:05,馬単,6,05>08,100,G022,nagashi_1st,3,28.0,13,0.657,0.584,pass,ref,2026-09-13 10:00:40,1,,,,,0,-100
20260913,202606040410,06,中山,10,15:05,馬単,6,05>02,100,G022,nagashi_1st,3,57.9,25,1.250,1.141,buy,ref,2026-09-13 10:00:40,1,,,,,0,-100
20260913,202606040410,06,中山,10,15:05,馬単,6,05>10,100,G022,nagashi_1st,3,17.0,7,0.385,0.350,pass,ref,2026-09-13 10:00:40,1,,,,,0,-100
20260913,202606040410,06,中山,10,15:05,3連複,7,02-05-08,100,G023,nagashi,3,34.6,15,1.059,0.910,apparent,ref,2026-09-13 10:00:40,1,,,,,0,-100
20260913,202606040410,06,中山,10,15:05,3連複,7,05-08-10,100,G023,nagashi,3,20.3,8,0.658,0.563,pass,ref,2026-09-13 10:00:40,1,,,,,0,-100
20260913,202606040410,06,中山,10,15:05,3連複,7,02-05-10,100,G023,nagashi,3,27.0,10,0.793,0.699,pass,ref,2026-09-13 10:00:40,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,馬連,4,07-10,100,G024,nagashi,1,20.9,8,0.976,0.861,pass,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,馬単,6,10>07,100,G025,nagashi_1st,4,70.5,25,1.117,0.857,apparent,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,馬単,6,10>01,100,G025,nagashi_1st,4,248.3,65,0.936,0.693,pass,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,馬単,6,10>02,100,G025,nagashi_1st,4,120.0,39,0.921,0.785,pass,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,馬単,6,10>05,100,G025,nagashi_1st,4,736.5,105,1.370,0.848,apparent,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,3連複,7,01-07-10,100,G026,nagashi,6,81.4,27,1.054,0.886,apparent,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,3連複,7,02-07-10,100,G026,nagashi,6,31.0,9,0.878,0.707,pass,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,3連複,7,05-07-10,100,G026,nagashi,6,245.4,73,1.556,1.058,buy,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,3連複,7,01-02-10,100,G026,nagashi,6,115.8,41,0.559,0.366,pass,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,3連複,7,01-05-10,100,G026,nagashi,6,1100.8,159,1.115,0.503,apparent,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202609040411,09,阪神,11,15:30,3連複,7,02-05-10,100,G026,nagashi,6,432.4,109,1.005,0.542,apparent,ref,2026-09-13 10:26:30,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,馬連,4,09-12,100,G027,nagashi,2,140.3,38,1.562,1.239,buy,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,馬連,4,08-12,100,G027,nagashi,2,82.8,22,1.451,1.268,buy,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,馬単,6,12>09,100,G028,nagashi_1st,5,322.6,82,1.538,1.260,buy,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,馬単,6,12>08,100,G028,nagashi_1st,5,219.9,61,1.515,1.221,buy,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,馬単,6,12>02,100,G028,nagashi_1st,5,401.7,93,1.311,1.096,buy,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,馬単,6,12>05,100,G028,nagashi_1st,5,213.3,58,1.169,0.975,apparent,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,馬単,6,12>06,100,G028,nagashi_1st,5,242.4,68,1.101,0.937,apparent,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,08-09-12,100,G029,nagashi,10,157.1,47,1.201,0.993,apparent,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,02-09-12,100,G029,nagashi,10,362.3,104,1.165,0.855,apparent,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,05-09-12,100,G029,nagashi,10,153.7,45,0.890,0.759,pass,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,06-09-12,100,G029,nagashi,10,199.7,63,0.930,0.753,pass,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,02-08-12,100,G029,nagashi,10,248.4,75,1.247,1.073,buy,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,05-08-12,100,G029,nagashi,10,115.1,30,1.034,0.877,apparent,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,06-08-12,100,G029,nagashi,10,125.7,33,0.910,0.785,pass,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,02-05-12,100,G029,nagashi,10,216.9,69,0.822,0.665,pass,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,02-06-12,100,G029,nagashi,10,312.9,93,0.951,0.726,pass,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202606040411,06,中山,11,15:45,3連複,7,05-06-12,100,G029,nagashi,10,120.5,32,0.660,0.588,pass,ref,2026-09-13 10:40:25,1,,,,,0,-100
20260913,202609040412,09,阪神,12,16:10,馬連,4,07-14,100,G030,nagashi,1,11.6,2,1.613,1.386,buy,ref,2026-09-13 10:07:25,1,,1,510,1,510,410
20260913,202609040412,09,阪神,12,16:10,馬単,6,14>07,100,G031,nagashi_1st,1,20.0,3,1.325,1.117,buy,ref,2026-09-13 10:07:25,1,,1,930,1,930,830
20260913,202606040412,06,中山,12,16:30,馬連,4,03-04,100,G032,nagashi,2,23.7,8,1.025,0.903,apparent,ref,2026-09-13 10:26:15,1,,,,,0,-100
20260913,202606040412,06,中山,12,16:30,馬連,4,03-10,100,G032,nagashi,2,163.8,44,1.049,0.804,apparent,ref,2026-09-13 10:26:15,1,,,,,0,-100
20260913,202606040412,06,中山,12,16:30,馬単,6,03>04,100,G033,nagashi_1st,2,67.7,24,1.185,0.961,apparent,ref,2026-09-13 10:26:15,1,,,,,0,-100
20260913,202606040412,06,中山,12,16:30,馬単,6,03>10,100,G033,nagashi_1st,2,401.8,99,1.406,1.005,buy,ref,2026-09-13 10:26:15,1,,,,,0,-100
20260913,202606040412,06,中山,12,16:30,3連複,7,03-04-10,100,G034,nagashi,1,136.7,44,0.883,0.754,pass,ref,2026-09-13 10:26:15,1,,,,,0,-100
