競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
阪神(月),9,馬連,4,14,,100,14:25,76.6,19,1.383,1.204,buy,ref,G001
阪神(月),9,馬連,3,14,,100,14:25,24.6,11,1.374,1.191,buy,ref,G001
阪神(月),9,馬単,14,4,,100,14:25,143.3,37,1.380,1.151,buy,ref,G002
阪神(月),9,馬単,14,3,,100,14:25,51.3,17,1.274,1.049,buy,ref,G002
阪神(月),9,3連複,3,4,14,100,14:25,87.1,28,1.214,0.940,apparent,ref,G003
阪神(月),10,馬連,4,5,,100,15:05,81.9,31,1.037,0.911,apparent,ref,G004
阪神(月),10,馬連,4,11,,100,15:05,59.3,25,0.902,0.813,pass,ref,G004
阪神(月),10,馬単,4,5,,100,15:05,154.3,58,1.013,0.867,apparent,ref,G005
阪神(月),10,馬単,4,11,,100,15:05,133.0,49,1.024,0.918,apparent,ref,G005
阪神(月),10,3連複,4,5,11,100,15:05,296.3,85,1.049,0.900,apparent,ref,G006
