競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
中山(土),8,馬連,4,8,,100,13:40,32.0,15,0.773,0.687,pass,ref,G001
中山(土),8,馬連,4,7,,100,13:40,113.6,30,1.337,1.154,buy,ref,G001
中山(土),8,馬単,4,8,,100,13:40,89.1,41,0.966,0.816,pass,ref,G002
中山(土),8,馬単,4,7,,100,13:40,249.7,66,1.473,1.267,buy,ref,G002
中山(土),8,3連複,4,7,8,100,13:40,169.0,55,1.054,0.906,apparent,ref,G003
阪神(土),8,馬連,6,7,,100,13:55,9.3,3,0.905,0.780,pass,ref,G004
阪神(土),8,馬単,6,7,,100,13:55,18.9,6,0.876,0.740,pass,ref,G005
中山(土),9,馬連,10,12,,100,14:10,7.2,2,0.293,0.250,pass,ref,G006
中山(土),9,馬連,10,13,,100,14:10,26.8,9,2.142,1.864,buy,ref,G006
中山(土),9,馬単,10,12,,100,14:10,19.6,6,0.356,0.288,pass,ref,G007
中山(土),9,馬単,10,13,,100,14:10,54.1,16,1.641,1.295,buy,ref,G007
中山(土),9,3連複,10,12,13,100,14:10,14.2,3,0.801,0.566,pass,ref,G008
阪神(土),9,馬連,4,12,,100,14:25,13.4,3,0.488,0.428,pass,ref,G009
阪神(土),9,馬連,4,10,,100,14:25,52.1,19,0.632,0.527,pass,ref,G009
阪神(土),9,馬単,4,12,,100,14:25,24.4,4,0.444,0.387,pass,ref,G010
阪神(土),9,馬単,4,10,,100,14:25,93.3,34,0.652,0.494,pass,ref,G010
阪神(土),9,3連複,4,10,12,100,14:25,59.0,20,0.347,0.286,pass,ref,G011
阪神(土),9,3連複,4,5,12,100,14:25,113.2,37,0.636,0.524,pass,ref,G011
阪神(土),9,3連複,4,5,10,100,14:25,424.7,119,0.838,0.533,pass,ref,G011
中山(土),10,馬連,1,2,,100,14:50,36.6,15,1.318,1.217,buy,ref,G012
中山(土),10,馬連,2,8,,100,14:50,55.5,20,1.137,1.045,buy,ref,G012
中山(土),10,馬単,2,1,,100,14:50,88.2,32,1.408,1.238,buy,ref,G013
中山(土),10,馬単,2,8,,100,14:50,91.8,35,0.919,0.854,pass,ref,G013
中山(土),10,3連複,1,2,8,100,14:50,108.0,37,1.492,1.318,buy,ref,G014
阪神(土),10,馬連,7,12,,100,15:05,64.2,21,1.408,1.307,buy,ref,G015
阪神(土),10,馬連,5,7,,100,15:05,9.2,1,0.609,0.544,pass,ref,G015
阪神(土),10,馬単,7,12,,100,15:05,93.1,35,1.257,1.081,buy,ref,G016
阪神(土),10,馬単,7,5,,100,15:05,15.7,1,0.559,0.506,pass,ref,G016
阪神(土),10,3連複,5,7,12,100,15:05,69.9,19,0.751,0.632,pass,ref,G017
中山(土),11,馬連,4,5,,100,15:30,65.0,26,0.984,0.883,pass,ref,G018
中山(土),11,馬連,4,6,,100,15:30,112.4,44,0.886,0.775,pass,ref,G018
中山(土),11,馬単,4,5,,100,15:30,143.8,59,1.020,0.885,apparent,ref,G019
中山(土),11,馬単,4,6,,100,15:30,227.0,89,0.918,0.787,pass,ref,G019
中山(土),11,3連複,4,5,6,100,15:30,205.7,66,0.590,0.521,pass,ref,G020
阪神(土),11,馬連,4,9,,100,15:45,28.1,8,0.991,0.869,pass,ref,G021
阪神(土),11,馬連,4,10,,100,15:45,58.8,21,0.849,0.759,pass,ref,G021
阪神(土),11,馬単,4,9,,100,15:45,69.5,23,1.047,0.857,apparent,ref,G022
阪神(土),11,馬単,4,10,,100,15:45,126.0,46,0.903,0.807,pass,ref,G022
阪神(土),11,3連複,4,9,10,100,15:45,66.5,17,0.673,0.544,pass,ref,G023
阪神(土),11,3連複,4,7,9,100,15:45,98.2,28,0.923,0.758,pass,ref,G023
阪神(土),11,3連複,4,9,11,100,15:45,45.5,9,0.857,0.664,pass,ref,G023
阪神(土),11,3連複,4,7,10,100,15:45,237.3,77,0.937,0.825,pass,ref,G023
阪神(土),11,3連複,4,10,11,100,15:45,106.3,30,0.854,0.722,pass,ref,G023
阪神(土),11,3連複,4,7,11,100,15:45,134.1,44,0.999,0.860,pass,ref,G023
中山(土),12,馬連,3,12,,100,16:10,17.4,5,0.797,0.648,pass,ref,G024
中山(土),12,馬単,3,12,,100,16:10,41.8,13,0.822,0.629,pass,ref,G025
中山(土),12,3連複,3,12,14,100,16:10,18.8,3,0.332,0.246,pass,ref,G026
阪神(土),12,馬連,15,16,,100,16:30,70.7,25,1.812,1.586,buy,ref,G027
阪神(土),12,馬連,10,15,,100,16:30,48.7,17,1.462,1.303,buy,ref,G027
阪神(土),12,馬単,15,16,,100,16:30,126.2,42,1.500,1.266,buy,ref,G028
阪神(土),12,馬単,15,10,,100,16:30,101.2,36,1.370,1.160,buy,ref,G028
阪神(土),12,3連複,10,15,16,100,16:30,112.5,34,1.537,1.193,buy,ref,G029
