date,race_id,jyo_code,venue,race_no,post_time,bet_type,bet_type_code,combo,amount,group_id,group_method,group_points,odds,ninki,ev,ev_low,judge,source,odds_time,finished,refunded,hit,payout_yen,payout_ninki,return,profit
20260919,202609040507,09,阪神,7,13:10,馬連,4,03-08,100,G001,nagashi,2,38.3,16,0.472,0.388,pass,ref,2026-09-19 12:05:22,1,,,,,0,-100
20260919,202609040507,09,阪神,7,13:10,馬連,4,01-08,100,G001,nagashi,2,11.3,2,0.667,0.594,pass,ref,2026-09-19 12:05:22,1,,,,,0,-100
20260919,202609040507,09,阪神,7,13:10,馬単,6,08>03,100,G002,nagashi_1st,2,60.8,20,0.430,0.321,pass,ref,2026-09-19 12:05:22,1,,,,,0,-100
20260919,202609040507,09,阪神,7,13:10,馬単,6,08>01,100,G002,nagashi_1st,2,32.6,8,0.880,0.755,pass,ref,2026-09-19 12:05:22,1,,,,,0,-100
20260919,202609040507,09,阪神,7,13:10,3連複,7,01-03-08,100,G003,nagashi,1,66.7,21,0.673,0.599,pass,ref,2026-09-19 12:05:22,1,,,,,0,-100
20260919,202606040508,06,中山,8,13:55,馬連,4,06-13,100,G004,nagashi,2,18.9,8,0.928,0.810,pass,ref,2026-09-19 11:50:02,1,,,,,0,-100
20260919,202606040508,06,中山,8,13:55,馬連,4,05-13,100,G004,nagashi,2,27.1,11,0.886,0.796,pass,ref,2026-09-19 11:50:02,1,,,,,0,-100
20260919,202606040508,06,中山,8,13:55,馬単,6,13>06,100,G005,nagashi_1st,2,50.1,21,0.969,0.772,pass,ref,2026-09-19 11:50:02,1,,,,,0,-100
20260919,202606040508,06,中山,8,13:55,馬単,6,13>05,100,G005,nagashi_1st,2,62.9,25,0.886,0.740,pass,ref,2026-09-19 11:50:02,1,,,,,0,-100
20260919,202606040508,06,中山,8,13:55,3連複,7,05-06-13,100,G006,nagashi,1,28.6,7,0.950,0.716,pass,ref,2026-09-19 11:50:02,1,,,,,0,-100
20260919,202609040509,09,阪神,9,14:10,馬単,6,03>14,100,G007,nagashi_1st,2,12.2,1,0.663,0.561,pass,note,2026-09-19 12:05:52,1,,,,,0,-100
20260919,202609040509,09,阪神,9,14:10,馬単,6,03>05,100,G007,nagashi_1st,2,21.1,6,0.552,0.502,pass,note,2026-09-19 12:05:52,1,,,,,0,-100
20260919,202609040509,09,阪神,9,14:10,馬連,4,02-03,100,G008,normal,1,23.5,8,0.490,0.434,pass,note,2026-09-19 12:05:52,1,,,,,0,-100
20260919,202609040509,09,阪神,9,14:10,3連複,7,02-03-14,100,G009,nagashi,3,33.5,8,0.710,0.574,pass,note,2026-09-19 12:05:52,1,,,,,0,-100
20260919,202609040509,09,阪神,9,14:10,3連複,7,02-03-05,100,G009,nagashi,3,94.7,26,0.820,0.709,pass,note,2026-09-19 12:05:52,1,,,,,0,-100
20260919,202609040509,09,阪神,9,14:10,3連複,7,03-05-14,100,G009,nagashi,3,12.1,1,0.547,0.410,pass,note,2026-09-19 12:05:52,1,,,,,0,-100
20260919,202606040509,06,中山,9,14:25,馬連,4,02-05,100,G010,nagashi,2,15.5,7,0.886,0.815,pass,ref,2026-09-19 12:20:07,1,,,,,0,-100
20260919,202606040509,06,中山,9,14:25,馬連,4,05-09,100,G010,nagashi,2,30.0,12,0.614,0.521,pass,ref,2026-09-19 12:20:07,1,,,,,0,-100
20260919,202606040509,06,中山,9,14:25,馬単,6,05>02,100,G011,nagashi_1st,3,40.4,18,0.931,0.796,pass,ref,2026-09-19 12:20:07,1,,,,,0,-100
20260919,202606040509,06,中山,9,14:25,馬単,6,05>09,100,G011,nagashi_1st,3,75.8,31,0.762,0.652,pass,ref,2026-09-19 12:20:07,1,,,,,0,-100
20260919,202606040509,06,中山,9,14:25,馬単,6,05>03,100,G011,nagashi_1st,3,48.1,20,0.616,0.566,pass,ref,2026-09-19 12:20:07,1,,,,,0,-100
20260919,202606040509,06,中山,9,14:25,3連複,7,02-05-09,100,G012,nagashi,3,33.7,12,0.800,0.719,pass,ref,2026-09-19 12:20:07,1,,,,,0,-100
20260919,202606040509,06,中山,9,14:25,3連複,7,02-03-05,100,G012,nagashi,3,19.4,5,0.604,0.531,pass,ref,2026-09-19 12:20:07,1,,,,,0,-100
20260919,202606040509,06,中山,9,14:25,3連複,7,03-05-09,100,G012,nagashi,3,39.2,14,0.440,0.348,pass,ref,2026-09-19 12:20:07,1,,,,,0,-100
20260919,202609040510,09,阪神,10,14:50,馬連,4,04-06,100,G013,nagashi,1,7.5,1,0.869,0.754,pass,ref,2026-09-19 11:45:17,1,,,,,0,-100
20260919,202609040510,09,阪神,10,14:50,馬単,6,06>04,100,G014,nagashi_1st,2,11.1,1,0.705,0.620,pass,ref,2026-09-19 11:45:17,1,,,,,0,-100
20260919,202609040510,09,阪神,10,14:50,馬単,6,06>07,100,G014,nagashi_1st,2,13.6,2,0.533,0.502,pass,ref,2026-09-19 11:45:17,1,,,,,0,-100
20260919,202609040510,09,阪神,10,14:50,3連複,7,04-06-07,100,G015,nagashi,1,13.6,1,0.559,0.422,pass,ref,2026-09-19 11:45:17,1,,,,,0,-100
20260919,202606040510,06,中山,10,15:05,馬連,4,09-11,100,G016,nagashi,2,8.3,3,0.959,0.836,pass,ref,2026-09-19 12:01:02,1,,,,,0,-100
20260919,202606040510,06,中山,10,15:05,馬連,4,11-12,100,G016,nagashi,2,15.0,7,0.558,0.509,pass,ref,2026-09-19 12:01:02,1,,,,,0,-100
20260919,202606040510,06,中山,10,15:05,馬単,6,11>09,100,G017,nagashi_1st,2,19.4,6,0.962,0.801,pass,ref,2026-09-19 12:01:02,1,,,,,0,-100
20260919,202606040510,06,中山,10,15:05,馬単,6,11>12,100,G017,nagashi_1st,2,27.5,10,0.544,0.489,pass,ref,2026-09-19 12:01:02,1,,,,,0,-100
20260919,202606040510,06,中山,10,15:05,3連複,7,09-11-12,100,G018,nagashi,1,10.7,2,0.499,0.388,pass,ref,2026-09-19 12:01:02,1,,,,,0,-100
20260919,202609040511,09,阪神,11,15:30,馬連,4,09-15,100,G019,nagashi,2,11.1,2,0.633,0.551,pass,ref,2026-09-19 12:25:07,1,,,,,0,-100
20260919,202609040511,09,阪神,11,15:30,馬連,4,04-09,100,G019,nagashi,2,12.1,3,0.567,0.505,pass,ref,2026-09-19 12:25:07,1,,,,,0,-100
20260919,202609040511,09,阪神,11,15:30,馬単,6,09>15,100,G020,nagashi_1st,2,22.0,6,0.570,0.477,pass,ref,2026-09-19 12:25:07,1,,,,,0,-100
20260919,202609040511,09,阪神,11,15:30,馬単,6,09>04,100,G020,nagashi_1st,2,19.5,5,0.431,0.371,pass,ref,2026-09-19 12:25:07,1,,,,,0,-100
20260919,202609040511,09,阪神,11,15:30,3連複,7,04-09-15,100,G021,nagashi,1,12.4,1,0.401,0.295,pass,ref,2026-09-19 12:25:07,1,,,,,0,-100
20260919,202606040511,06,中山,11,15:45,馬連,4,07-08,100,G022,nagashi,2,21.2,9,0.609,0.536,pass,ref,2026-09-19 11:40:07,1,,,,,0,-100
20260919,202606040511,06,中山,11,15:45,馬連,4,08-09,100,G022,nagashi,2,34.7,15,0.549,0.480,pass,ref,2026-09-19 11:40:07,1,,,,,0,-100
20260919,202606040511,06,中山,11,15:45,馬単,6,08>07,100,G023,nagashi_1st,2,53.6,21,0.666,0.550,pass,ref,2026-09-19 11:40:07,1,,,,,0,-100
20260919,202606040511,06,中山,11,15:45,馬単,6,08>09,100,G023,nagashi_1st,2,70.2,30,0.532,0.470,pass,ref,2026-09-19 11:40:07,1,,,,,0,-100
20260919,202606040511,06,中山,11,15:45,3連複,7,07-08-09,100,G024,nagashi,1,34.7,10,0.350,0.288,pass,ref,2026-09-19 11:40:07,1,,,,,0,-100
20260919,202609040512,09,阪神,12,16:10,馬連,4,04-08,100,G025,nagashi,2,45.1,19,0.479,0.394,pass,ref,2026-09-19 12:06:47,1,,,,,0,-100
20260919,202609040512,09,阪神,12,16:10,馬連,4,04-15,100,G025,nagashi,2,58.0,23,0.711,0.615,pass,ref,2026-09-19 12:06:47,1,,,,,0,-100
20260919,202609040512,09,阪神,12,16:10,馬単,6,04>08,100,G026,nagashi_1st,2,98.1,35,0.590,0.445,pass,ref,2026-09-19 12:06:47,1,,,,,0,-100
20260919,202609040512,09,阪神,12,16:10,馬単,6,04>15,100,G026,nagashi_1st,2,81.4,28,0.557,0.446,pass,ref,2026-09-19 12:06:47,1,,,,,0,-100
20260919,202609040512,09,阪神,12,16:10,3連複,7,04-08-15,100,G027,nagashi,1,317.7,98,0.617,0.430,pass,ref,2026-09-19 12:06:47,1,,,,,0,-100
20260919,202606040512,06,中山,12,16:30,馬連,4,01-07,100,G028,nagashi,2,11.1,2,0.518,0.462,pass,ref,2026-09-19 12:25:52,1,,,,,0,-100
20260919,202606040512,06,中山,12,16:30,馬連,4,05-07,100,G028,nagashi,2,13.3,3,0.559,0.509,pass,ref,2026-09-19 12:25:52,1,,1,800,1,800,700
20260919,202606040512,06,中山,12,16:30,馬単,6,07>01,100,G029,nagashi_1st,4,25.0,4,0.588,0.524,pass,ref,2026-09-19 12:25:52,1,,,,,0,-100
20260919,202606040512,06,中山,12,16:30,馬単,6,07>05,100,G029,nagashi_1st,4,26.8,5,0.578,0.525,pass,ref,2026-09-19 12:25:52,1,,,,,0,-100
20260919,202606040512,06,中山,12,16:30,馬単,6,07>09,100,G029,nagashi_1st,4,207.1,70,1.139,0.882,apparent,ref,2026-09-19 12:25:52,1,,,,,0,-100
