date,race_id,jyo_code,venue,race_no,post_time,bet_type,bet_type_code,combo,amount,group_id,group_method,group_points,odds,ninki,ev,ev_low,judge,source,odds_time
20260922,202606040707,06,中山,7,13:10,馬連,4,07-08,100,G001,nagashi,1,35.7,8,1.606,1.355,buy,ref,2026-09-22 11:05:21
20260922,202606040707,06,中山,7,13:10,馬単,6,08>07,100,G002,nagashi_1st,1,74.1,15,0.849,0.609,pass,ref,2026-09-22 11:05:21
20260922,202606040710,06,中山,10,14:50,馬連,4,02-05,100,G003,nagashi,2,13.0,4,0.793,0.708,pass,ref,2026-09-22 11:45:11
20260922,202606040710,06,中山,10,14:50,馬連,4,02-07,100,G003,nagashi,2,31.4,12,0.965,0.885,pass,ref,2026-09-22 11:45:11
20260922,202606040710,06,中山,10,14:50,馬単,6,02>05,100,G004,nagashi_1st,2,34.4,12,0.945,0.810,pass,ref,2026-09-22 11:45:11
20260922,202606040710,06,中山,10,14:50,馬単,6,02>07,100,G004,nagashi_1st,2,65.0,25,1.015,0.919,apparent,ref,2026-09-22 11:45:11
20260922,202606040710,06,中山,10,14:50,3連複,7,02-05-07,100,G005,nagashi,1,30.8,9,0.789,0.658,pass,ref,2026-09-22 11:45:11
20260922,202606040711,06,中山,11,15:30,馬連,4,09-13,100,G006,nagashi,2,286.0,72,1.476,1.163,buy,ref,2026-09-22 11:25:11
20260922,202606040711,06,中山,11,15:30,馬連,4,05-13,100,G006,nagashi,2,81.5,25,1.052,0.946,apparent,ref,2026-09-22 11:25:11
20260922,202606040711,06,中山,11,15:30,馬単,6,13>09,100,G007,nagashi_1st,2,493.6,142,1.225,0.995,apparent,ref,2026-09-22 11:25:11
20260922,202606040711,06,中山,11,15:30,馬単,6,13>05,100,G007,nagashi_1st,2,197.8,68,1.065,0.895,apparent,ref,2026-09-22 11:25:11
20260922,202606040711,06,中山,11,15:30,3連複,7,05-09-13,100,G008,nagashi,1,511.7,148,1.354,1.102,buy,ref,2026-09-22 11:25:11
