競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
阪神(日),7,馬連,7,13,,100,13:10,45.8,18,0.810,0.717,pass,ref,G001
阪神(日),7,馬連,6,7,,100,13:10,37.8,16,0.612,0.553,pass,ref,G001
阪神(日),7,馬単,7,13,,100,13:10,115.7,41,0.917,0.768,pass,ref,G002
阪神(日),7,馬単,7,6,,100,13:10,108.7,38,0.800,0.685,pass,ref,G002
阪神(日),7,3連複,6,7,13,100,13:10,63.2,19,0.457,0.374,pass,ref,G003
中山(日),7,馬連,15,16,,100,13:25,28.6,8,0.509,0.451,pass,ref,G004
中山(日),7,馬連,7,16,,100,13:25,118.1,42,1.274,1.148,buy,ref,G004
中山(日),7,馬単,16,15,,100,13:25,54.0,19,0.446,0.380,pass,ref,G005
中山(日),7,馬単,16,7,,100,13:25,278.9,99,1.503,1.352,buy,ref,G005
中山(日),7,3連複,7,15,16,100,13:25,173.6,51,0.740,0.627,pass,ref,G006
阪神(日),8,馬連,2,11,,100,13:40,8.1,1,0.636,0.571,pass,ref,G007
阪神(日),8,馬連,8,11,,100,13:40,23.2,11,1.173,1.085,buy,ref,G007
阪神(日),8,馬単,11,2,,100,13:40,12.7,1,0.533,0.485,pass,ref,G008
阪神(日),8,馬単,11,8,,100,13:40,30.4,7,0.875,0.834,pass,ref,G008
阪神(日),8,3連複,2,8,11,100,13:40,26.5,7,0.748,0.615,pass,ref,G009
中山(日),8,馬連,3,13,,100,13:55,23.9,9,0.423,0.375,pass,ref,G010
中山(日),8,馬連,5,13,,100,13:55,58.4,23,1.012,0.917,apparent,ref,G010
中山(日),8,馬単,13,3,,100,13:55,26.1,2,0.263,0.217,pass,ref,G011
中山(日),8,馬単,13,5,,100,13:55,98.1,43,0.970,0.818,pass,ref,G011
中山(日),8,3連複,3,5,13,100,13:55,224.6,77,0.782,0.633,pass,ref,G012
阪神(日),9,馬連,10,11,,100,14:10,27.3,11,0.847,0.742,pass,ref,G013
阪神(日),9,馬連,3,10,,100,14:10,20.2,8,0.944,0.872,pass,ref,G013
阪神(日),9,馬単,10,11,,100,14:10,44.8,19,0.850,0.673,pass,ref,G014
阪神(日),9,馬単,10,3,,100,14:10,33.5,15,0.915,0.825,pass,ref,G014
阪神(日),9,馬単,10,5,,100,14:10,9.2,2,0.551,0.494,pass,ref,G014
阪神(日),9,3連複,3,10,11,100,14:10,67.1,23,0.732,0.583,pass,ref,G015
阪神(日),9,3連複,5,10,11,100,14:10,25.1,8,0.688,0.592,pass,ref,G015
阪神(日),9,3連複,3,5,10,100,14:10,15.6,5,0.622,0.521,pass,ref,G015
中山(日),9,馬連,1,2,,100,14:25,3.5,1,0.475,0.418,pass,ref,G016
中山(日),9,馬単,2,1,,100,14:25,8.8,2,0.561,0.482,pass,ref,G017
阪神(日),10,馬連,1,8,,100,14:50,25.7,10,0.613,0.544,pass,ref,G018
阪神(日),10,馬連,6,8,,100,14:50,25.1,9,0.690,0.622,pass,ref,G018
阪神(日),10,馬単,8,1,,100,14:50,60.6,23,0.821,0.726,pass,ref,G019
阪神(日),10,馬単,8,6,,100,14:50,52.6,19,0.808,0.750,pass,ref,G019
阪神(日),10,馬単,8,9,,100,14:50,61.8,24,0.692,0.604,pass,ref,G019
阪神(日),10,馬単,8,11,,100,14:50,51.5,17,0.591,0.519,pass,ref,G019
阪神(日),10,3連複,1,6,8,100,14:50,105.5,34,0.669,0.566,pass,ref,G020
阪神(日),10,3連複,1,8,9,100,14:50,187.5,66,0.853,0.751,pass,ref,G020
阪神(日),10,3連複,1,8,11,100,14:50,127.5,47,0.595,0.523,pass,ref,G020
阪神(日),10,3連複,6,8,9,100,14:50,153.9,58,0.800,0.710,pass,ref,G020
阪神(日),10,3連複,6,8,11,100,14:50,120.0,46,0.640,0.566,pass,ref,G020
阪神(日),10,3連複,8,9,11,100,14:50,186.1,65,0.710,0.633,pass,ref,G020
中山(日),10,馬連,5,8,,100,15:05,17.8,10,0.887,0.810,pass,ref,G021
中山(日),10,馬単,5,8,,100,15:05,28.0,13,0.657,0.584,pass,ref,G022
中山(日),10,馬単,5,2,,100,15:05,57.9,25,1.250,1.141,buy,ref,G022
中山(日),10,馬単,5,10,,100,15:05,17.0,7,0.385,0.350,pass,ref,G022
中山(日),10,3連複,2,5,8,100,15:05,34.6,15,1.059,0.910,apparent,ref,G023
中山(日),10,3連複,5,8,10,100,15:05,20.3,8,0.658,0.563,pass,ref,G023
中山(日),10,3連複,2,5,10,100,15:05,27.0,10,0.793,0.699,pass,ref,G023
阪神(日),11,馬連,7,10,,100,15:30,20.9,8,0.976,0.861,pass,ref,G024
阪神(日),11,馬単,10,7,,100,15:30,70.5,25,1.117,0.857,apparent,ref,G025
阪神(日),11,馬単,10,1,,100,15:30,248.3,65,0.936,0.693,pass,ref,G025
阪神(日),11,馬単,10,2,,100,15:30,120.0,39,0.921,0.785,pass,ref,G025
阪神(日),11,馬単,10,5,,100,15:30,736.5,105,1.370,0.848,apparent,ref,G025
阪神(日),11,3連複,1,7,10,100,15:30,81.4,27,1.054,0.886,apparent,ref,G026
阪神(日),11,3連複,2,7,10,100,15:30,31.0,9,0.878,0.707,pass,ref,G026
阪神(日),11,3連複,5,7,10,100,15:30,245.4,73,1.556,1.058,buy,ref,G026
阪神(日),11,3連複,1,2,10,100,15:30,115.8,41,0.559,0.366,pass,ref,G026
阪神(日),11,3連複,1,5,10,100,15:30,1100.8,159,1.115,0.503,apparent,ref,G026
阪神(日),11,3連複,2,5,10,100,15:30,432.4,109,1.005,0.542,apparent,ref,G026
中山(日),11,馬連,9,12,,100,15:45,140.3,38,1.562,1.239,buy,ref,G027
中山(日),11,馬連,8,12,,100,15:45,82.8,22,1.451,1.268,buy,ref,G027
中山(日),11,馬単,12,9,,100,15:45,322.6,82,1.538,1.260,buy,ref,G028
中山(日),11,馬単,12,8,,100,15:45,219.9,61,1.515,1.221,buy,ref,G028
中山(日),11,馬単,12,2,,100,15:45,401.7,93,1.311,1.096,buy,ref,G028
中山(日),11,馬単,12,5,,100,15:45,213.3,58,1.169,0.975,apparent,ref,G028
中山(日),11,馬単,12,6,,100,15:45,242.4,68,1.101,0.937,apparent,ref,G028
中山(日),11,3連複,8,9,12,100,15:45,157.1,47,1.201,0.993,apparent,ref,G029
中山(日),11,3連複,2,9,12,100,15:45,362.3,104,1.165,0.855,apparent,ref,G029
中山(日),11,3連複,5,9,12,100,15:45,153.7,45,0.890,0.759,pass,ref,G029
中山(日),11,3連複,6,9,12,100,15:45,199.7,63,0.930,0.753,pass,ref,G029
中山(日),11,3連複,2,8,12,100,15:45,248.4,75,1.247,1.073,buy,ref,G029
中山(日),11,3連複,5,8,12,100,15:45,115.1,30,1.034,0.877,apparent,ref,G029
中山(日),11,3連複,6,8,12,100,15:45,125.7,33,0.910,0.785,pass,ref,G029
中山(日),11,3連複,2,5,12,100,15:45,216.9,69,0.822,0.665,pass,ref,G029
中山(日),11,3連複,2,6,12,100,15:45,312.9,93,0.951,0.726,pass,ref,G029
中山(日),11,3連複,5,6,12,100,15:45,120.5,32,0.660,0.588,pass,ref,G029
阪神(日),12,馬連,7,14,,100,16:10,11.6,2,1.613,1.386,buy,ref,G030
阪神(日),12,馬単,14,7,,100,16:10,20.0,3,1.325,1.117,buy,ref,G031
中山(日),12,馬連,3,4,,100,16:30,23.7,8,1.025,0.903,apparent,ref,G032
中山(日),12,馬連,3,10,,100,16:30,163.8,44,1.049,0.804,apparent,ref,G032
中山(日),12,馬単,3,4,,100,16:30,67.7,24,1.185,0.961,apparent,ref,G033
中山(日),12,馬単,3,10,,100,16:30,401.8,99,1.406,1.005,buy,ref,G033
中山(日),12,3連複,3,4,10,100,16:30,136.7,44,0.883,0.754,pass,ref,G034
