競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
阪神(日),11,馬連,7,10,,100,15:30,97.0,36,,,追加,box補完,G901
中山(日),11,馬連,4,9,,100,15:45,8.6,2,,,追加,box補完,G901
