競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
阪神(土),7,馬連,3,8,,100,13:10,38.3,16,0.472,0.388,pass,ref,G001
阪神(土),7,馬連,1,8,,100,13:10,11.3,2,0.667,0.594,pass,ref,G001
阪神(土),7,馬単,8,3,,100,13:10,60.8,20,0.430,0.321,pass,ref,G002
阪神(土),7,馬単,8,1,,100,13:10,32.6,8,0.880,0.755,pass,ref,G002
阪神(土),7,3連複,1,3,8,100,13:10,66.7,21,0.673,0.599,pass,ref,G003
中山(土),8,馬連,6,13,,100,13:55,18.9,8,0.928,0.810,pass,ref,G004
中山(土),8,馬連,5,13,,100,13:55,27.1,11,0.886,0.796,pass,ref,G004
中山(土),8,馬単,13,6,,100,13:55,50.1,21,0.969,0.772,pass,ref,G005
中山(土),8,馬単,13,5,,100,13:55,62.9,25,0.886,0.740,pass,ref,G005
中山(土),8,3連複,5,6,13,100,13:55,28.6,7,0.950,0.716,pass,ref,G006
阪神(土),9,馬単,3,14,,100,14:10,12.2,1,0.663,0.561,pass,note,G007
阪神(土),9,馬単,3,5,,100,14:10,21.1,6,0.552,0.502,pass,note,G007
阪神(土),9,馬連,2,3,,100,14:10,23.5,8,0.490,0.434,pass,note,G008
阪神(土),9,3連複,2,3,14,100,14:10,33.5,8,0.710,0.574,pass,note,G009
阪神(土),9,3連複,2,3,5,100,14:10,94.7,26,0.820,0.709,pass,note,G009
阪神(土),9,3連複,3,5,14,100,14:10,12.1,1,0.547,0.410,pass,note,G009
中山(土),9,馬連,2,5,,100,14:25,15.5,7,0.886,0.815,pass,ref,G010
中山(土),9,馬連,5,9,,100,14:25,30.0,12,0.614,0.521,pass,ref,G010
中山(土),9,馬単,5,2,,100,14:25,40.4,18,0.931,0.796,pass,ref,G011
中山(土),9,馬単,5,9,,100,14:25,75.8,31,0.762,0.652,pass,ref,G011
中山(土),9,馬単,5,3,,100,14:25,48.1,20,0.616,0.566,pass,ref,G011
中山(土),9,3連複,2,5,9,100,14:25,33.7,12,0.800,0.719,pass,ref,G012
中山(土),9,3連複,2,3,5,100,14:25,19.4,5,0.604,0.531,pass,ref,G012
中山(土),9,3連複,3,5,9,100,14:25,39.2,14,0.440,0.348,pass,ref,G012
阪神(土),10,馬連,4,6,,100,14:50,7.5,1,0.869,0.754,pass,ref,G013
阪神(土),10,馬単,6,4,,100,14:50,11.1,1,0.705,0.620,pass,ref,G014
阪神(土),10,馬単,6,7,,100,14:50,13.6,2,0.533,0.502,pass,ref,G014
阪神(土),10,3連複,4,6,7,100,14:50,13.6,1,0.559,0.422,pass,ref,G015
中山(土),10,馬連,9,11,,100,15:05,8.3,3,0.959,0.836,pass,ref,G016
中山(土),10,馬連,11,12,,100,15:05,15.0,7,0.558,0.509,pass,ref,G016
中山(土),10,馬単,11,9,,100,15:05,19.4,6,0.962,0.801,pass,ref,G017
中山(土),10,馬単,11,12,,100,15:05,27.5,10,0.544,0.489,pass,ref,G017
中山(土),10,3連複,9,11,12,100,15:05,10.7,2,0.499,0.388,pass,ref,G018
阪神(土),11,馬連,9,15,,100,15:30,11.1,2,0.633,0.551,pass,ref,G019
阪神(土),11,馬連,4,9,,100,15:30,12.1,3,0.567,0.505,pass,ref,G019
阪神(土),11,馬単,9,15,,100,15:30,22.0,6,0.570,0.477,pass,ref,G020
阪神(土),11,馬単,9,4,,100,15:30,19.5,5,0.431,0.371,pass,ref,G020
阪神(土),11,3連複,4,9,15,100,15:30,12.4,1,0.401,0.295,pass,ref,G021
中山(土),11,馬連,7,8,,100,15:45,21.2,9,0.609,0.536,pass,ref,G022
中山(土),11,馬連,8,9,,100,15:45,34.7,15,0.549,0.480,pass,ref,G022
中山(土),11,馬単,8,7,,100,15:45,53.6,21,0.666,0.550,pass,ref,G023
中山(土),11,馬単,8,9,,100,15:45,70.2,30,0.532,0.470,pass,ref,G023
中山(土),11,3連複,7,8,9,100,15:45,34.7,10,0.350,0.288,pass,ref,G024
阪神(土),12,馬連,4,8,,100,16:10,45.1,19,0.479,0.394,pass,ref,G025
阪神(土),12,馬連,4,15,,100,16:10,58.0,23,0.711,0.615,pass,ref,G025
阪神(土),12,馬単,4,8,,100,16:10,98.1,35,0.590,0.445,pass,ref,G026
阪神(土),12,馬単,4,15,,100,16:10,81.4,28,0.557,0.446,pass,ref,G026
阪神(土),12,3連複,4,8,15,100,16:10,317.7,98,0.617,0.430,pass,ref,G027
中山(土),12,馬連,1,7,,100,16:30,11.1,2,0.518,0.462,pass,ref,G028
中山(土),12,馬連,5,7,,100,16:30,13.3,3,0.559,0.509,pass,ref,G028
中山(土),12,馬単,7,1,,100,16:30,25.0,4,0.588,0.524,pass,ref,G029
中山(土),12,馬単,7,5,,100,16:30,26.8,5,0.578,0.525,pass,ref,G029
中山(土),12,馬単,7,9,,100,16:30,207.1,70,1.139,0.882,apparent,ref,G029
中山(土),12,馬単,7,15,,100,16:30,36.0,12,0.698,0.645,pass,ref,G029
中山(土),12,3連複,1,5,7,100,16:30,18.5,1,0.354,0.277,pass,ref,G030
中山(土),12,3連複,1,7,9,100,16:30,162.6,52,0.757,0.700,pass,ref,G030
中山(土),12,3連複,1,7,15,100,16:30,25.4,5,0.432,0.344,pass,ref,G030
中山(土),12,3連複,5,7,9,100,16:30,175.2,58,0.736,0.694,pass,ref,G030
中山(土),12,3連複,5,7,15,100,16:30,33.3,8,0.513,0.415,pass,ref,G030
中山(土),12,3連複,7,9,15,100,16:30,304.6,93,1.131,1.080,buy,ref,G030
